12002-61-8: Ac@[2],O@[3]
27039-77-6: Ag@[1],Al@[1],Cl@[4]
7785-23-1: Ag@[1],Br@[1]
7783-89-3: Ag@[1],Br@[1],O@[3]
506-64-9: Ag@[1],C@[1],N@[1]
563-63-3: Ag@[1],C@[2],H@[3],O@[2]
7783-90-6: Ag@[1],Cl@[1]
7783-92-8: Ag@[1],Cl@[1],O@[3]
7783-93-9: Ag@[1],Cl@[1],O@[4]
7775-41-9: Ag@[1],F@[1]
7783-95-1: Ag@[1],F@[2]
7783-96-2: Ag@[1],I@[1]
7783-97-3: Ag@[1],I@[1],O@[3]
7783-98-4: Ag@[1],Mn@[1],O@[4]
13863-88-2: Ag@[1],N@[3]
7761-88-8: Ag@[1],N@[1],O@[3]
1301-96-8: Ag@[1],O@[1]
5610-59-3: Ag@[1],O@[1],N@[1],C@[1]
7784-00-1: Ag@[1],Re@[1],O@[4]
1701-93-5: Ag@[1],S@[1],N@[1],C@[1]
7659-31-6: Ag@[2],C@[2]
534-16-7: Ag@[2],C@[1],O@[3]
533-51-7: Ag@[2],C@[2],O@[4]
75763-82-5: Ag@[2],Cl@[2]
7784-01-2: Ag@[2],Cr@[1],O@[4]
7784-02-3: Ag@[2],Cr@[2],O@[7]
1302-01-8: Ag@[2],F@[1]
13765-74-7: Ag@[2],Mo@[1],O@[4]
20667-12-3: Ag@[2],O@[1]
21548-73-2: Ag@[2],S@[1]
10294-26-5: Ag@[2],S@[1],O@[4]
1302-09-6: Ag@[2],Se@[1]
7784-05-6: Ag@[2],Se@[1],O@[3]
7784-07-8: Ag@[2],Se@[1],O@[4]
12002-99-2: Ag@[2],Te@[1]
11078-32-3: Ag@[3],Br@[2]
11078-33-4: Ag@[3],Br@[3]
12444-96-1: Ag@[3],Cl@[3]
37375-12-5: Ag@[3],I@[3]
7784-09-0: Ag@[3],P@[1],O@[4]
15983-65-0: Ag@[3],Sb@[1],S@[3]
22831-42-1: Al@[1],As@[1]
12041-50-8: Al@[1],B@[2]
12041-54-2: Al@[1],B@[12]
7727-15-3: Al@[1],Br@[3]
7784-11-4: Al@[1],Br@[3],H@[12],O@[6]
7360-53-4: Al@[1],C@[3],H@[3],O@[6]
7446-70-0: Al@[1],Cl@[3]
7784-13-6: Al@[1],Cl@[3],H@[12],O@[6]
7784-18-1: Al@[1],F@[3]
7784-23-8: Al@[1],I@[3]
24304-00-5: Al@[1],N@[1]
21645-51-2: Al@[1],O@[3],H@[3]
20859-73-8: Al@[1],P@[1]
7784-30-7: Al@[1],P@[1],O@[4]
25152-52-7: Al@[1],Sb@[1]
1344-28-1: Al@[2],O@[3]
10043-01-3: Al@[2],S@[3],O@[12]
1302-81-4: Al@[2],S@[3]
1302-82-5: Al@[2],Se@[3]
82868-10-8: As@[1],Br@[1],O@[1]
7784-33-0: As@[1],Br@[3]
7784-34-1: As@[1],Cl@[3]
60646-36-8: As@[1],Cl@[3],O@[1]
22441-45-8: As@[1],Cl@[5]
7784-35-2: As@[1],F@[3]
7784-36-3: As@[1],F@[5]
7784-42-1: As@[1],H@[3]
13770-56-4: As@[2],I@[4]
12005-99-1: As@[1],O@[1]
12255-12-8: As@[1],O@[2]
12255-33-3: As@[1],P@[1]
12511-95-4: As@[1],P@[3]
12006-06-3: As@[1],Se@[4]
15942-63-9: As@[2],H@[4]
13770-56-4: As@[2],I@[4]
1327-53-3: As@[2],O@[3]
1303-28-2: As@[2],O@[5]
12512-03-7: As@[2],P@[2]
1303-33-9: As@[2],S@[3]
1303-32-8: As@[2],S@[4]
1303-34-0: As@[2],S@[5]
1303-35-1: As@[2],Se@[1]
1303-36-2: As@[2],Se@[3]
1303-37-3: As@[2],Se@[5]
12044-54-1: As@[2],Te@[3]
83527-53-1: As@[3],O@[4]
12512-11-7: As@[3],P@[1]
12279-90-2: As@[4],S@[4]
10294-27-6: Au@[1],Br@[1]
10294-28-7: Au@[1],Br@[3]
506-65-0: Au@[1],C@[1],N@[1]
10294-29-8: Au@[1],Cl@[1]
13453-07-1: Au@[1],Cl@[3]
14720-21-9: Au@[1],F@[3]
57542-85-5: Au@[1],F@[5]
10294-31-2: Au@[1],I@[1]
31032-13-0: Au@[1],I@[3]
1303-52-2: Au@[1],O@[3],H@[3]
23331-11-5: Au@[1],Se@[1]
37043-71-3: Au@[1],Te@[1]
1303-58-8: Au@[2],O@[3]
1303-60-2: Au@[2],S@[1]
1303-61-3: Au@[2],S@[3]
10294-32-3: Au@[2],Se@[3],O@[12]
1303-62-4: Au@[2],Se@[3]
62792-24-9: Au@[4],Cl@[8]
14270-21-9: Au@[4],F@[8]
